d_minus_1,latency,t_rng,t_area,t_dse,c_base_rng,c_base_area,c_base_solve,c_sep_rng,c_sep_area,c_sep_solve,c_opt_rng,c_opt_area,c_opt_solve,speedup_vs_opt
1,4,12,593.446,0.024,12,1465.4244791666667,0.2696399688720703,12,1431.4244791666667,0.4646625518798828,12,1301.4244791666667,0.5590286254882812,23.29285939534505
1,5,9,685.216,0.024,9,1480.9016927083335,0.3873906135559082,9,1458.2350260416667,0.663489580154419,9,1326.9016927083335,0.8375873565673828,34.89947319030762
1,6,8,800.128,0.024,8,1557.8385416666667,0.4221827983856201,8,1535.171875,0.8286981582641602,8,1407.171875,1.2188091278076172,50.78371365865072
2,4,36,1336.916,0.029,36,3465.6067708333335,0.2671027183532715,36,3414.6067708333335,0.4390699863433838,36,3220.940104166667,0.5951881408691406,20.523728995487605
2,5,27,1558.76,0.029,27,3391.038411458333,0.3518381118774414,27,3357.038411458333,0.6462688446044922,27,3162.371744791667,0.8858456611633301,30.546402109080347
2,6,24,1795.5,0.031,24,3473.848958333333,0.42308783531188965,24,3439.8489583333335,0.8251800537109375,24,3250.515625,1.2018070220947266,38.7679684546686
3,4,72,2377.774,0.034,72,6313.213541666666,0.30549192428588867,72,6245.213541666667,0.4475820064544678,72,6065.213541666667,0.5905828475952148,17.370083752800436
3,5,54,2786.084,0.034,54,6083.41015625,0.34868955612182617,54,6038.076822916667,0.6372518539428711,54,5915.41015625,0.8604655265808105,25.307809605317956
3,6,48,3187.744,0.039,48,6150.364583333335,0.4205920696258545,48,6105.031250000001,0.7906770706176758,48,6009.031250000001,1.24037766456604,31.804555501693333
4,4,120,3716.02,0.044,120,10008.244791666666,0.270660400390625,120,9923.244791666668,0.4313507080078125,120,9678.244791666666,0.607752799987793,13.812563636086205
4,5,90,4367.188,0.04,90,9558.016927083332,0.3517177104949951,90,9501.350260416666,0.6283588409423828,90,9313.016927083334,0.8489823341369629,21.224558353424072
4,6,80,4976.86,0.04,80,9587.385416666666,0.4211246967315674,80,9530.71875,0.7848951816558838,80,9370.71875,1.1344635486602783,28.361588716506958
