d_minus_1,latency,t_rng,t_area,t_dse,c_base_rng,c_base_area,c_base_solve,c_sep_rng,c_sep_area,c_sep_solve,c_opt_rng,c_opt_area,c_opt_solve,speedup_vs_opt
1,4,48,3106.348,0.118,,,,,,,36,3322.2734375,0.48290157318115234,4.092386213399596
1,5,39,3691.548,0.117,,,,,,,36,3412.9401041666665,0.7229495048522949,6.179055597028161
1,6,36,4218.228,0.11,,,,,,,36,3503.606770833333,1.2334825992584229,11.213478175076572
2,4,144,7253.82,0.152,,,,,,,96,8214.729166666666,0.48279261589050293,3.1762672098059404
2,5,117,8588.874,0.147,,,,,,,92,8073.476562499999,0.6831386089324951,4.647201421309491
2,6,108,9774.702,0.136,,,,,,,90,8148.350260416665,0.8998680114746094,6.616676554960363
3,4,288,13125.504,0.209,,,,,,,192,15372.125,0.4763152599334717,2.2790203824568023
3,5,234,15520.568,0.182,,,,,,,184,14744.953124999998,0.6369633674621582,3.4997987223195506
3,6,216,17631.544,0.183,,,,,,,180,14683.367187500002,0.8124327659606934,4.439523311260619
4,4,480,20698.79,0.209,,,,,,,300,23898.278645833332,0.4732933044433594,2.2645612652792315
4,5,390,24462.69,0.21,,,,,,,280,22285.348958333332,0.6391563415527344,3.043601626441592
4,6,360,27763.75,0.203,,,,,,,270,21866.384114583336,0.8459134101867676,4.167061133924963
