design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
aes_bp,4,2,3532.0,5282.904947916666,1.0866568088531494,46
aes_bp,5,2,3807.6666666666665,5216.003255208333,1.555281162261963,37
aes_bp,6,2,4062.0,5356.147135416666,2.5795443058013916,34
aes_bp,4,3,7909.666666666666,13162.381510416666,1.0938379764556885,138
aes_bp,5,3,8543.666666666666,12768.676432291666,1.6247694492340088,111
aes_bp,6,3,8998.666666666666,12881.108072916666,2.480419397354126,102
aes_bp,4,4,14029.333333333332,24534.763020833332,1.0994629859924316,276
aes_bp,5,4,15168.666666666666,23618.686197916664,1.561051845550537,222
aes_bp,6,4,15873.333333333332,23638.216145833332,2.4518535137176514,204
aes_bp,4,5,21891.0,39400.049479166664,1.2626681327819824,460
aes_bp,5,5,23682.666666666664,37766.03255208333,1.6587605476379395,370
aes_bp,6,5,24686.0,37627.471354166664,2.540259838104248,340
