design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
canright,4,2,1951.9999999999998,3322.2734375,0.48290157318115234,36
canright,5,2,2042.6666666666665,3412.9401041666665,0.7229495048522949,36
canright,6,2,2133.3333333333335,3503.6067708333335,1.2334825992584229,36
canright,4,3,4560.666666666666,8214.729166666666,0.48279261589050293,96
canright,5,3,4571.666666666666,8073.476562499999,0.6831386089324951,92
canright,6,3,4722.666666666667,8148.350260416667,0.8998680114746094,90
canright,4,4,8064.0,15372.125,0.4763152599334717,192
canright,5,4,7741.333333333333,14744.953125,0.6369633674621582,184
canright,6,4,7831.999999999999,14683.3671875,0.8124327659606934,180
canright,4,5,12479.333333333332,23898.278645833332,0.4732933044433594,300
canright,5,5,11627.666666666666,22285.348958333332,0.6391563415527344,280
canright,6,5,11589.333333333334,21866.384114583336,0.8459134101867676,270
