design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
aes_bp,4,2,2778.0,4528.904947916666,2.3023507595062256,46
aes_bp,5,2,3083.6666666666665,4492.003255208333,5.9667205810546875,37
aes_bp,6,2,3336.6666666666665,4630.813802083333,269.36557841300964,34
aes_bp,4,3,6786.0,12038.71484375,2.3902220726013184,138
aes_bp,5,3,7467.999999999999,11693.009765625,6.49737811088562,111
aes_bp,6,3,7922.0,11804.44140625,16.486667156219482,102
aes_bp,4,4,12961.333333333332,23466.763020833332,2.2935004234313965,276
aes_bp,5,4,14136.666666666666,22586.686197916664,6.842034816741943,222
aes_bp,6,4,14876.0,22640.8828125,15.895878553390503,204
aes_bp,4,5,20446.0,37955.049479166664,2.3930230140686035,460
aes_bp,5,5,22237.666666666664,36321.03255208333,6.194114685058594,370
aes_bp,6,5,23269.333333333332,36210.8046875,15.651937246322632,340
