design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
aes_bp,4,2,3237.333333333333,4988.23828125,1.727107286453247,46
aes_bp,5,2,3512.9999999999995,4921.336588541666,4.483550548553467,37
aes_bp,6,2,3767.333333333333,5061.48046875,9.069120168685913,34
aes_bp,4,3,7467.666666666667,12720.381510416668,1.7850747108459473,138
aes_bp,5,3,8101.666666666666,12326.676432291666,4.403182744979858,111
aes_bp,6,3,8556.666666666666,12439.108072916666,9.56308913230896,102
aes_bp,4,4,13440.0,23945.4296875,1.6240856647491455,276
aes_bp,5,4,14579.333333333334,23029.352864583336,3.6300103664398193,222
aes_bp,6,4,15283.999999999998,23048.882812499996,7.663611888885498,204
aes_bp,4,5,21154.333333333332,38663.3828125,1.573296308517456,460
aes_bp,5,5,22945.999999999996,37029.365885416664,3.540923833847046,370
aes_bp,6,5,23949.333333333332,36890.8046875,7.694461107254028,340
